,Fold,Valid_MSE_NN,Valid_MAE_NN,Valid_R2_NN,Valid_MSE_XGB,Valid_MAE_XGB,Valid_R2_XGB,Valid_MSE_RF,Valid_MAE_RF,Valid_R2_RF,Valid_MSE_LR,Valid_MAE_LR,Valid_R2_LR,Test_MSE_NN,Test_MAE_NN,Test_R2_NN,Test_MSE_XGB,Test_MAE_XGB,Test_R2_XGB,Test_MSE_RF,Test_MAE_RF,Test_R2_RF,Test_MSE_LR,Test_MAE_LR,Test_R2_LR
-1,0.0,1.3371947339597994,1.0440622538503315,0.9588547891276686,0.003678843453442861,0.044858717223990374,0.9998868027327553,0.01050291922548595,0.07516932998858512,0.9996768273047053,29.2398789934881,4.737951276680504,0.1002948512174684,1.3597847496271949,1.0537653291409286,0.9616321302228513,0.003529158580117869,0.04390553700855434,0.9999004207858178,0.010581026188420158,0.07708177572366934,0.99970144433888,30.84380216539068,4.842249598152068,0.12970712074959212
0,1.0,1.4079752708161826,1.0427256499721962,0.9590343675625761,0.0037571237216448955,0.045503664597853224,0.9998906849057699,0.009460439860339263,0.07416223370495958,0.9997247445249586,30.569050978124686,4.829582961399772,0.1105806101233584,1.4240380124074807,1.050238086499196,0.9598191514997212,0.003922862693965877,0.04581537857378479,0.9998893119774751,0.010030600326359097,0.07458879886344232,0.9997169752291942,30.843726372425245,4.843520716032634,0.1297092593341208
1,2.0,1.2074904901515076,0.9744420770333848,0.9645448088126979,0.0039314927579652955,0.04569477262794325,0.9998845607244761,0.009811221580173219,0.07409260046672507,0.9997119159614563,29.975559565762413,4.730978318616745,0.11983638461855095,1.2647514228574284,1.0143819361509303,0.9643136033802693,0.0034103866363368483,0.0443811680080742,0.9999037720709925,0.010361549113786662,0.07540029041501183,0.9997076371336006,30.842132088229288,4.838946123644363,0.12975424387188306
2,3.0,1.2914578934430898,1.0083290452981093,0.9610432295444109,0.0033648900286510257,0.044005655381029435,0.9998984982405389,0.010380747319868757,0.07687516360369037,0.9996868652144597,29.418333617583666,4.681094342599377,0.11259726256290004,1.3163417617707185,1.0271549745213164,0.9628579234237712,0.003273220134223304,0.04320245480841328,0.9999076423795044,0.009923749289784687,0.07411321416442267,0.9997199901524444,30.83392954085309,4.836670418912055,0.1299856880542487
3,4.0,0.9535745298643133,0.8553466265006203,0.9731770793004235,0.004012768485674273,0.04775158300654671,0.9998871255811621,0.01195337317509901,0.08001326141349649,0.9996637657878574,31.611258670405558,4.853108120059564,0.11081278077892986,0.9581317641384707,0.8593856715026204,0.9729652249991086,0.004419265827369604,0.049869913352136176,0.9998753053997542,0.012003835807425969,0.08065023990114352,0.9996612981508934,30.831235240087523,4.832543590715427,0.13006171080780748
